,name,category,labels,resource,github_id,license,description,github_url,homepage,created_at,updated_at,last_commit_pushed_at,commit_count,fork_count,open_issue_count,star_count,contributor_count,projectrank,show,docs_url,watchers_count,pr_count,closed_issue_count,latest_stable_release_published_at,latest_stable_release_number,release_count,recent_commit_count,pypi_id,conda_id,github_release_downloads,monthly_downloads,dependent_project_count,github_dependent_project_count,pypi_url,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,pypi_latest_release_published_at,pypi_dependent_project_count,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_pulls,trending,dockerhub_stars,updated_github_id,gitlab_id,gitlab_url
99,ExaGO,steady-state,"['gha', 'jupyter', 'c', 'python', 'lab']",,pnnl/ExaGO,BSD-3,Large-scale power grid optimization.,https://github.com/pnnl/ExaGO,https://www.gridpath.io/,2023-08-02 21:05:34,2026-03-23 17:12:53.000000,2026-03-23 17:12:52,1175.0,17.0,2.0,93.0,35.0,15,True,https://github.com/pnnl/ExaGO/blob/develop/docs/manual/manual.pdf,10.0,103.0,101.0,2023-10-25 18:01:10.000,1.6.0,1.0,15.0,,,,,,,,,,,,3.0,,,,,,,,,,,
100,ExaModels,opl,"['gha', 'julia', 'university']",,exanauts/ExaModels.jl,MIT,"An algebraic modeling and automatic differentiation tool in Julia Language, specialized for SIMD abstraction of..",https://github.com/exanauts/ExaModels.jl,https://github.com/exanauts/ExaModels.jl,2023-03-28 20:02:20,2026-04-02 16:05:44.000000,2026-03-13 17:24:52,193.0,8.0,10.0,74.0,11.0,15,True,https://exanauts.github.io/ExaModels.jl/stable/,4.0,197.0,39.0,2026-03-10 16:40:17.000,0.9.7,16.0,23.0,,,,,,,,,,,,3.0,,,,,,,,,,,
101,dGen,dataman,"['gha', 'python', 'jupyter', 'lab']",,NatLabRockies/dgen,BSD-3,The Distributed Generation Market Demand (dGen) model.,https://github.com/NatLabRockies/dgen,https://github.com/NatLabRockies/dgen,2020-04-15 15:51:02,2026-03-26 20:01:33.000000,2026-02-17 20:32:57,301.0,169.0,24.0,73.0,13.0,15,True,https://natlabrockies.github.io/dgen/,15.0,32.0,21.0,2024-12-18 17:32:05.000,2.0.0,2.0,6.0,,,,,,,,,,,,3.0,,,,,,,,,,,
102,LTB AMS,steady-state,"['gha', 'pypi', 'conda', 'jupyter', 'python', 'university']",,CURENT/ams,GPL-3,Scheduling Modeling and Simulation; CURENT LTB.,https://github.com/CURENT/ams,https://ltb.curent.org/,2022-10-05 11:57:30,2025-12-23 10:31:01.925000,2025-12-23 09:01:24,2805.0,8.0,13.0,24.0,4.0,15,True,https://ams.readthedocs.io/en/latest/,2.0,183.0,11.0,2025-12-23 09:07:56.000,1.1.1,31.0,,ltbams,conda-forge/ltbams,94.0,1232.0,3.0,3.0,https://pypi.org/project/ltbams,134.0,https://anaconda.org/conda-forge/ltbams,2025-12-23 10:31:01.925,28456.0,3.0,,,,,,,,,,,
103,KVXOPT,opl,"['gha', 'pypi', 'conda', 'python', 'volunteer']",,sanurielf/kvxopt,GPL-3,CVXOPT with more wrappers suite-sparse.,https://github.com/kvxopt/kvxopt,https://github.com/kvxopt/kvxopt,2014-03-17 19:08:31,2026-02-23 01:41:18.388000,2026-02-22 21:51:53,326.0,1.0,,13.0,16.0,15,True,https://sanurielf.github.io/kvxopt/userguide/,2.0,11.0,7.0,2026-02-22 22:10:03.000,1.3.3.1,21.0,13.0,kvxopt,conda-forge/kvxopt,3.0,12857.0,32.0,32.0,https://pypi.org/project/kvxopt,5031.0,https://anaconda.org/conda-forge/kvxopt,2026-02-23 01:41:18.388,422646.0,3.0,,,,,,,,,kvxopt/kvxopt,,
104,ReEDS-2.0,steady-state,"['python', 'gha', 'lab']",,NatLabRockies/ReEDS-2.0,GPL-3,Capacity planning and dispatch model.,https://github.com/NatLabRockies/ReEDS-2.0,https://www.nlr.gov/analysis/reeds/,2019-05-28 15:57:01,2026-03-27 19:59:21.000000,2026-03-26 20:28:37,120.0,81.0,8.0,172.0,14.0,14,True,https://docs.nlr.gov/docs/fy21osti/78195.pdf,131.0,53.0,23.0,2026-03-26 21:04:48.000,2026.03.17,18.0,6.0,,,,,,,,,,,,3.0,,,,,,,,,,,
105,Xyce,phasor,"['pypi', 'conda', 'jupyter', 'python', 'lab']",,Xyce/Xyce,GPL-3,The Xyce Parallel Electronic Simulator.,https://github.com/Xyce/Xyce,https://xyce.sandia.gov/,2019-05-09 15:56:12,2026-02-23 17:38:32.000000,2026-02-23 16:14:40,282.0,15.0,42.0,126.0,8.0,14,True,https://xyce.sandia.gov/documentation-tutorials/,13.0,13.0,78.0,2025-07-21 19:17:59.000,Release-7.10.0,14.0,44.0,xyce,vlsida-eda/xyce,1113.0,148.0,,,https://pypi.org/project/xyce,17.0,https://anaconda.org/vlsida-eda/xyce,2025-03-25 16:27:12.035,4610.0,3.0,,,,,,,,,,,
106,powerfactory-tools,intf,"['pypi', 'python', 'university', 'jupyter', 'gha']",,ieeh-tu-dresden/powerfactory-tools,BSD-3,Python toolbox for control of DIgSILENT PowerFactory.,https://github.com/ieeh-tu-dresden/powerfactory-tools,https://github.com/ieeh-tu-dresden/powerfactory-tools,2022-08-31 07:29:54,2026-04-02 18:33:59.000000,2026-04-02 18:33:59,156.0,9.0,22.0,45.0,4.0,14,True,,2.0,132.0,169.0,2025-12-03 08:59:32.000,3.3.1,24.0,1.0,ieeh-powerfactory-tools,,376.0,117.0,2.0,2.0,https://pypi.org/project/ieeh-powerfactory-tools,109.0,,,,2.0,2025-12-03 08:59:27.000,,,,,,,,,,
107,PyDSS,intf,"['gha', 'pypi', 'python', 'lab']",,NatLabRockies/PyDSS,BSD-3,A Python wrapper for OpenDSS.,https://github.com/NatLabRockies/PyDSS,https://www.nlr.gov/grid/pydss,2018-10-16 15:59:07,2026-04-01 21:52:35.000000,2026-01-26 16:52:51,959.0,27.0,13.0,39.0,23.0,14,True,https://natlabrockies.github.io/PyDSS/index.html,6.0,123.0,16.0,2024-05-29 18:05:37.000,3.1.7,21.0,1.0,pydss,,,48.0,2.0,2.0,https://pypi.org/project/pydss,48.0,,,,2.0,,,,,,,,,,,
108,PowerGraphics.jl,vis,"['gha', 'julia', 'jupyter', 'lab']",,NREL-Sienna/powergraphics.jl,BSD-3,Visualization for PowerSimulations; NREL Sienna.,https://github.com/NREL-Sienna/PowerGraphics.jl,https://www.nlr.gov/analysis/sienna,2020-02-19 23:29:27,2026-03-25 18:01:50.000000,2025-12-08 14:58:17,607.0,18.0,17.0,33.0,11.0,14,True,https://nrel-sienna.github.io/PowerGraphics.jl/stable/,7.0,89.0,24.0,2025-12-08 15:22:55.000,0.21.0,44.0,,,,,,,,,,,,,3.0,,,,,,,,,,,
