,name,category,labels,resource,github_id,license,description,github_url,homepage,created_at,updated_at,last_commit_pushed_at,commit_count,fork_count,open_issue_count,star_count,contributor_count,projectrank,show,docs_url,watchers_count,pr_count,closed_issue_count,latest_stable_release_published_at,latest_stable_release_number,release_count,recent_commit_count,pypi_id,conda_id,github_release_downloads,monthly_downloads,dependent_project_count,github_dependent_project_count,pypi_url,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_pulls,trending,dockerhub_stars,pypi_latest_release_published_at,pypi_dependent_project_count,updated_github_id,gitlab_id,gitlab_url
112,CIMTool,intf,"['gha', 'java', 'non-profit']",,CIMug-org/CIMTool,LGPL-2.1,CIMugs CIMTool for the CIM.,https://github.com/cimug-org/CIMTool,https://github.com/cimug-org/CIMTool,2020-04-14 18:23:49,2026-04-15 16:37:19.000000,2026-03-22 22:57:54,488.0,11.0,41.0,66.0,17.0,13,True,http://cimtool.ucaiug.io/,15.0,111.0,82.0,2024-10-02 05:23:38.000,2.2.0,12.0,3.0,,,3437.0,48.0,,,,,,,,3.0,,,,,,,,,,,
113,OpenDER,phasor,"['pypi', 'jupyter', 'python', 'c', 'non-profit']",,epri-dev/OpenDER,BSD-3,Inverter-based DER simulation.,https://github.com/epri-dev/OpenDER,https://www.epri.com/OpenDER,2022-04-26 22:09:28,2025-06-23 15:15:40.000000,2025-04-15 17:33:02,125.0,29.0,,70.0,2.0,12,True,,17.0,14.0,1.0,2025-04-15 17:34:05.000,2.2,8.0,,opender,,,2853.0,3.0,3.0,https://pypi.org/project/opender,2853.0,,,,3.0,,,,,,,,,,,
114,grg-pssedata,intf,"['pypi', 'python', 'lab']",,lanl-ansi/grg-pssedata,BSD-3,Python tools for working with PSSE v33 data files.,https://github.com/lanl-ansi/grg-pssedata,https://github.com/lanl-ansi/grg-pssedata,2018-05-26 20:24:25,2020-12-15 02:47:06.000000,2020-12-14 22:39:36,35.0,15.0,3.0,35.0,3.0,12,False,https://grg-pssedata.readthedocs.io/en/stable/,5.0,5.0,10.0,2020-12-15 02:47:06.000,0.1.4,7.0,,grg-pssedata,,,148.0,7.0,7.0,https://pypi.org/project/grg-pssedata,148.0,,,,3.0,,,,,,,,,,,
115,PyPSA-Distribution,steady-state,"['gha', 'python', 'volunteer']",,pypsa-meets-earth/pypsa-distribution,GPL-3,Multi-energy model for small scale applications in high spatial and temporal resolution.,https://github.com/pypsa-meets-earth/pypsa-distribution,https://github.com/pypsa-meets-earth/pypsa-distribution,2022-05-29 15:03:11,2026-03-30 17:40:45.000000,2026-02-10 16:22:09,324.0,14.0,20.0,29.0,7.0,12,True,https://pypsa-distribution.readthedocs.io/en/latest/,4.0,56.0,9.0,2025-12-31 18:44:21.000,0.0.2,2.0,3.0,,,,,,,,,,,,3.0,,,,,,,,,,,
116,OATS,steady-state,"['pypi', 'python', 'university']",,bukhsh/oats,GPL-3,Optimisation and Analysis Toolbox for Power Systems.,https://github.com/bukhsh/oats,https://github.com/bukhsh/oats,2018-01-26 23:15:04,2024-12-11 15:02:44.000000,2024-12-11 15:02:44,221.0,7.0,22.0,29.0,4.0,12,True,https://oats.readthedocs.io,1.0,69.0,56.0,2020-01-28 13:56:32.000,1.0.2,3.0,,oatspower,,,75.0,3.0,3.0,https://pypi.org/project/oatspower,75.0,,,,3.0,,,,,,,,,,,
117,OpenDSSDirect.jl,intf,"['gha', 'julia', 'volunteer']",,dss-extensions/OpenDSSDirect.jl,MIT,Cross-platform Julia interface to OpenDSS.,https://github.com/dss-extensions/OpenDSSDirect.jl,https://dss-extensions.org/,2015-12-30 20:40:07,2026-02-26 06:58:24.000000,2026-02-17 15:07:40,291.0,6.0,12.0,29.0,9.0,12,True,https://dss-extensions.org/OpenDSSDirect.jl/,6.0,63.0,36.0,2024-10-30 03:10:57.000,0.9.9,23.0,1.0,,,,,,,,,,,,3.0,,,,,,,,,,,
118,DOPER,steady-state,"['gha', 'python', 'jupyter', 'lab']",,LBNL-ETA/DOPER,BSD-3,Distributed Optimal and Predictive Energy Resources.,https://github.com/LBNL-ETA/DOPER,https://github.com/LBNL-ETA/DOPER,2019-02-05 16:36:15,2026-04-02 22:28:19.000000,2026-04-02 22:27:52,93.0,11.0,,22.0,3.0,12,True,,2.0,5.0,,2026-04-02 22:28:19.000,2.1.6,3.0,15.0,,,,,,,,,,,,3.0,,,,,,,,,,,
119,MOST,steady-state,"['gha', 'octave', 'university']",,MATPOWER/most,BSD-3,MATPOWER Optimal Scheduling Tool.,https://github.com/MATPOWER/most,https://matpower.org/,2016-12-16 19:10:43,2026-02-16 22:45:45.000000,2026-02-16 22:38:29,248.0,14.0,6.0,39.0,2.0,11,True,https://github.com/MATPOWER/most/blob/master/docs/MOST-manual.pdf,4.0,9.0,37.0,2025-07-12 21:38:08.000,1.3.1,6.0,2.0,,,,,,,,,,,,3.0,,,,,,,,,,,
120,PowerSystemsInvestmentsPortfolios.jl,steady-state,"['gha', 'julia', 'lab']",,NREL-Sienna/PowerSystemsInvestmentsPortfolios.jl,BSD-3,Data models for Power Systems investment models; NREL Sienna.,https://github.com/NREL-Sienna/PowerSystemsInvestmentsPortfolios.jl,https://www.nlr.gov/analysis/sienna,2024-02-29 21:31:12,2026-04-01 22:03:12.000000,2026-01-22 17:32:07,36.0,9.0,23.0,14.0,7.0,11,True,https://nrel-sienna.github.io/PowerSystemsInvestmentsPortfolios.jl/stable,3.0,31.0,40.0,2026-01-25 17:32:26.000,0.1.0,1.0,6.0,,,,,,,,,,,,3.0,,,,,,,,,,,
121,cimpyorm,intf,"['gha', 'python', 'pypi', 'university']",,RWTH-IAEW/cimpyorm,BSD-3.0,Python ORM middleware for IEC CIM and CGMES datasets.,https://github.com/RWTH-IAEW/cimpyorm,https://github.com/RWTH-IAEW/cimpyorm,2019-01-17 11:51:43,2024-05-15 14:28:13.000000,2023-10-19 16:12:01,82.0,5.0,1.0,12.0,5.0,11,False,,3.0,17.0,2.0,2023-10-19 16:12:55.000,0.10.1,5.0,,cimpyorm,,,3777.0,4.0,4.0,https://pypi.org/project/cimpyorm,3777.0,,,,3.0,,,,,,,,,,,
