,name,category,labels,resource,github_id,license,description,github_url,homepage,created_at,updated_at,last_commit_pushed_at,commit_count,fork_count,open_issue_count,star_count,contributor_count,projectrank,show,docs_url,watchers_count,pr_count,closed_issue_count,latest_stable_release_published_at,latest_stable_release_number,release_count,recent_commit_count,pypi_id,conda_id,github_release_downloads,monthly_downloads,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,trending,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_pulls,dockerhub_stars,updated_github_id,gitlab_id,gitlab_url
90,Open RAO,steady-state,"['gha', 'java', 'non-profit']",,powsybl/powsybl-open-rao,MPL-2.0,Power systems coordinated capacity calculation and security analysis.,https://github.com/powsybl/powsybl-open-rao,https://www.powsybl.org,2018-11-22 10:41:50,2026-04-09 17:35:20.000000,2026-04-08 13:48:12,1186.0,8.0,63.0,31.0,40.0,17,True,https://powsybl.readthedocs.io/projects/openrao/en/stable/,1.0,1477.0,156.0,2026-03-31 09:42:53.000,7.2.0,89.0,57.0,,,52.0,0.0,,,,,,,,,,3.0,,,,,,,,,
91,PowerGenome,data,"['gha', 'pypi', 'conda', 'python']",,PowerGenome/PowerGenome,MIT,Create inputs for power systems models.,https://github.com/PowerGenome/PowerGenome,https://groups.io/g/powergenome,2019-07-18 17:33:40,2026-04-08 18:59:06.000000,2026-02-13 15:59:24,1825.0,74.0,98.0,234.0,18.0,16,True,https://github.com/PowerGenome/PowerGenome/wiki,19.0,261.0,101.0,2025-03-21 18:15:20.000,0.7.0,20.0,1.0,PowerGenome,conda-forge/powergenome,,110.0,,,https://pypi.org/project/PowerGenome,2025-03-21 18:15:20.000,,54.0,https://anaconda.org/conda-forge/powergenome,2025-04-22 14:58:55.013,1523.0,3.0,,,,,,,,,
92,PowerSimulationsDynamics.jl,phasor,"['gha', 'julia', 'lab']",,NREL-Sienna/PowerSimulationsDynamics.jl,BSD-3,Dynamic Power System simulations; NREL Sienna.,https://github.com/NREL-Sienna/PowerSimulationsDynamics.jl,https://www.nlr.gov/analysis/sienna,2020-07-16 19:36:16,2026-03-31 20:07:33.000000,2025-11-10 05:50:54,2415.0,57.0,51.0,216.0,16.0,16,True,https://nrel-sienna.github.io/PowerSimulationsDynamics.jl/stable,9.0,252.0,94.0,2025-07-09 18:08:11.000,0.15.0,42.0,,,,,,,,,,,,,,,2.0,,,,,,,,,
93,UnitCommitment.jl,steady-state,"['julia', 'gha', 'lab']",,ANL-CEEESA/UnitCommitment.jl,BSD-3,Optimization package for the Security-Constrained Unit Commitment Problem.,https://github.com/ANL-CEEESA/UnitCommitment.jl,https://github.com/ANL-CEEESA/UnitCommitment.jl,2020-05-13 15:18:42,2026-04-07 19:11:05.000000,2026-04-07 19:10:54,491.0,35.0,3.0,138.0,7.0,16,True,https://anl-ceeesa.github.io/UnitCommitment.jl/,7.0,29.0,9.0,2025-11-27 15:16:26.000,0.4.2,9.0,121.0,,,,,,,,,,,,,,3.0,,,,,,,,,
94,AltDSS/DSS C-API,intf,"['gha', 'volunteer']",,dss-extensions/dss_capi,BSD-3,a plain C interface to OpenDSS.,https://github.com/dss-extensions/dss_capi,https://dss-extensions.org/,2017-12-18 14:45:11,2026-02-26 04:44:09.000000,2024-07-11 18:58:44,2411.0,16.0,16.0,38.0,8.0,16,True,https://dss-extensions.org/dss-extensions/pascal/,7.0,12.0,106.0,2024-03-29 04:28:39.000,0.14.5,73.0,,,,33374.0,340.0,,,,,,,,,,2.0,,,,,,,,,
95,matpower-pip,intf,"['gha', 'pypi', 'python', 'university']",,yasirroni/matpower-pip,MIT,Easy Python Access to MATPOWER.,https://github.com/yasirroni/matpower-pip,https://github.com/yasirroni/matpower-pip,2021-12-27 15:47:13,2026-04-02 06:24:46.000000,2026-04-02 06:24:06,224.0,3.0,7.0,26.0,2.0,16,True,,2.0,15.0,15.0,2026-02-25 05:22:02.000,2.3.0,26.0,12.0,matpower,,,741.0,13.0,11.0,https://pypi.org/project/matpower,2026-02-25 05:03:00.000,2.0,741.0,,,,2.0,,,,,,,,,
96,KVXOPT,opl,"['gha', 'pypi', 'conda', 'python', 'volunteer']",,sanurielf/kvxopt,GPL-3,CVXOPT with more wrappers suite-sparse.,https://github.com/kvxopt/kvxopt,https://github.com/kvxopt/kvxopt,2014-03-17 19:08:31,2026-02-23 01:41:18.388000,2026-02-22 21:51:53,326.0,1.0,,13.0,16.0,16,True,https://sanurielf.github.io/kvxopt/userguide/,2.0,11.0,7.0,2026-02-22 22:10:03.000,1.3.3.1,24.0,13.0,kvxopt,conda-forge/kvxopt,4.0,12144.0,46.0,32.0,https://pypi.org/project/kvxopt,2026-02-22 22:26:50.000,14.0,4271.0,https://anaconda.org/conda-forge/kvxopt,2026-02-23 01:41:18.388,425182.0,3.0,,,,,,,kvxopt/kvxopt,,
97,Clarabel.jl,ops,"['gha', 'julia', 'university']",,oxfordcontrol/Clarabel.jl,Apache-2,Interior-point solver for convex conic optimisation in Julia.,https://github.com/oxfordcontrol/Clarabel.jl,https://github.com/oxfordcontrol/Clarabel.jl,2021-11-09 14:28:22,2026-03-07 03:36:05.000000,2025-08-25 13:49:06,915.0,27.0,12.0,259.0,12.0,15,True,https://clarabel.org,4.0,154.0,62.0,2025-05-23 18:28:14.000,0.11.0,17.0,,,,,,,,,,,,,,,3.0,,,,,,,,,
98,RTS-GMLC,data,['lab'],,GridMod/RTS-GMLC,DOE/NREL/ALLIANCE data use disclaimer agreement,Reliability Test System dataset for Grid Modernization Lab Consortium studies.,https://github.com/GridMod/RTS-GMLC,https://github.com/GridMod/RTS-GMLC,2017-01-13 22:10:37,2025-10-23 02:49:18.000000,2025-10-23 02:33:26,505.0,93.0,28.0,228.0,31.0,15,True,,21.0,37.0,97.0,2025-10-23 02:49:18.000,0.2.3,5.0,,,,,,,,,,,,,,,3.0,,,,,,,,,
99,EGRET,steady-state,"['gha', 'python', 'lab']",,grid-parity-exchange/Egret,BSD,Tools for Power Systems Optimization Modeling.,https://github.com/grid-parity-exchange/Egret,https://github.com/grid-parity-exchange/Egret,2019-01-28 18:41:03,2026-01-22 20:31:18.000000,2026-01-22 20:31:18,1103.0,61.0,52.0,157.0,41.0,15,True,,13.0,247.0,38.0,2025-10-06 15:54:54.000,0.6.0,7.0,3.0,,,,,,,,,,,,,,3.0,,,,,,,,,
