,name,category,labels,resource,github_id,license,description,github_url,homepage,created_at,updated_at,last_commit_pushed_at,commit_count,fork_count,open_issue_count,star_count,contributor_count,projectrank,show,docs_url,watchers_count,pr_count,closed_issue_count,latest_stable_release_published_at,latest_stable_release_number,release_count,recent_commit_count,pypi_id,conda_id,github_release_downloads,monthly_downloads,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,trending,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_pulls,dockerhub_stars,updated_github_id,new_addition
46,ECOS,ops,"['python', 'julia', 'c', 'octave', 'r', 'university']",,embotech/ecos,GPL-3,Conic solver for second-order cone programming.,https://github.com/embotech/ecos,https://github.com/embotech/ecos,2013-02-11 21:27:50,2025-11-06 08:27:49.404000,2022-01-04 22:33:07,622.0,126.0,67.0,542.0,40.0,24,False,https://github.com/embotech/ecos/wiki,34.0,65.0,95.0,2024-06-18 03:47:45.000,2.0.14,24.0,,ecos,conda-forge/ecos,,919449.0,49.0,,https://pypi.org/project/ecos,2024-06-18 03:47:45.000,49.0,900705.0,https://anaconda.org/conda-forge/ecos,2025-11-06 08:27:49.404,1199627.0,3.0,,,,,,,,
47,Atlite,data,"['gha', 'pypi', 'conda', 'jupyter', 'python', 'university']",,PyPSA/atlite,BSD-2,Calculating Renewable Power Potentials.,https://github.com/PyPSA/atlite,https://pypsa.org,2016-11-03 23:59:25,2026-03-21 22:45:37.321000,2026-03-13 12:49:14,818.0,126.0,53.0,375.0,45.0,24,True,https://atlite.readthedocs.io/en/master/?badge=master,12.0,334.0,111.0,2026-03-13 12:55:17.000,0.5.0,22.0,10.0,atlite,conda-forge/atlite,,5848.0,117.0,115.0,https://pypi.org/project/atlite,2026-03-13 12:55:17.000,2.0,3960.0,https://anaconda.org/conda-forge/atlite,2026-03-21 22:45:37.321,130312.0,2.0,,,,,,,,
48,PyOptInterface,opl,"['gha', 'pypi', 'jupyter', 'python', 'volunteer']",,metab0t/PyOptInterface,MPL-2.0,Efficient modeling interface for optimization in Python.,https://github.com/metab0t/PyOptInterface,https://github.com/metab0t/PyOptInterface,2023-06-13 16:11:33,2026-03-23 07:34:52.000000,2026-03-23 05:12:38,552.0,24.0,6.0,303.0,6.0,24,True,https://metab0t.github.io/PyOptInterface/,6.0,30.0,34.0,2026-03-23 07:34:52.000,0.6.0,17.0,81.0,pyoptinterface,,,13734.0,27.0,21.0,https://pypi.org/project/pyoptinterface,2026-03-23 07:34:52.000,6.0,13734.0,,,,3.0,1.0,,,,,,,
49,powerplantmatching,data,"['gha', 'pypi', 'conda', 'python', 'university']",,PyPSA/powerplantmatching,BSD-2,Tools to combine multiple power plant databases.,https://github.com/PyPSA/powerplantmatching,https://pypsa.org,2016-08-15 16:36:25,2026-03-02 07:47:49.000000,2026-03-02 07:47:47,1025.0,71.0,23.0,214.0,36.0,24,True,https://atlite.readthedocs.io/en/master/?badge=master,20.0,174.0,91.0,2026-02-11 15:18:15.000,0.8.1,35.0,18.0,powerplantmatching,conda-forge/powerplantmatching,87.0,4005.0,86.0,86.0,https://pypi.org/project/powerplantmatching,2026-02-11 15:18:15.000,,2062.0,https://anaconda.org/conda-forge/powerplantmatching,2026-02-11 22:17:11.404,122462.0,2.0,,,,,,,,
50,MATPOWER,steady-state,"['gha', 'octave', 'university']",,MATPOWER/matpower,BSD-3,Steady state power flow simulation.,https://github.com/MATPOWER/matpower,https://matpower.org/,2016-12-16 19:12:30,2026-03-11 01:08:43.300241,2026-03-10 23:35:29,2671.0,171.0,23.0,544.0,23.0,23,True,https://matpower.org/doc/,29.0,57.0,212.0,2025-07-13 02:31:28.000,8.1,6.0,6.0,,,710221.0,8105.0,,,,,,,,,,2.0,1.0,matpower/matpower,https://hub.docker.com/r/matpower/matpower,2026-03-11 01:08:43.300241,3991.0,,,
51,Clarabel.rs,ops,"['gha', 'pypi', 'conda', 'python', 'rust', 'university']",,oxfordcontrol/Clarabel.rs,Apache-2.0,Interior-point solver for convex conic optimisation in Rust.,https://github.com/oxfordcontrol/Clarabel.rs,https://github.com/oxfordcontrol/Clarabel.rs,2022-04-17 13:48:34,2025-12-17 09:55:56.799000,2025-09-25 13:24:15,629.0,41.0,23.0,540.0,11.0,23,True,https://oxfordcontrol.github.io/ClarabelDocs/stable/,13.0,151.0,50.0,2025-06-11 16:48:58.000,0.11.1,18.0,,clarabel,conda-forge/clarabel,,2451416.0,103.0,60.0,https://pypi.org/project/clarabel,2025-06-11 16:48:58.000,43.0,2439324.0,https://anaconda.org/conda-forge/clarabel,2025-12-17 09:55:56.799,350684.0,3.0,,,,,,,,
52,HELICS,msg,"['gha', 'pypi', 'conda', 'python', 'julia', 'octave', 'java', 'c', 'lab']",,GMLC-TDC/HELICS,BSD-3,Co-simulation framework.,https://github.com/GMLC-TDC/HELICS,https://helics.org/tools/,2017-06-01 17:03:19,2026-03-16 18:33:35.000000,2025-08-16 01:38:32,3574.0,51.0,97.0,162.0,39.0,23,True,https://docs.helics.org/en/latest/,15.0,2058.0,585.0,2025-02-28 08:41:58.000,3.6.1,106.0,,helics,conda-forge/helics,31643.0,5495.0,13.0,,https://pypi.org/project/helics,2025-02-28 08:41:58.000,13.0,4934.0,https://anaconda.org/conda-forge/helics,2025-04-22 14:56:53.590,21686.0,1.0,,,,,,,,
53,LightSim2Grid,steady-state,"['gha', 'pypi', 'python', 'for-profit']",,BDonnot/lightsim2grid,MPL-2.0,A fast backend for the Grid2Op.,https://github.com/Grid2op/lightsim2grid,https://l2rpn.chalearn.org/,2020-03-09 07:35:27,2026-02-06 16:17:12.000000,2026-02-05 09:07:13,1100.0,14.0,16.0,63.0,9.0,23,True,https://lightsim2grid.readthedocs.io/en/latest/,1.0,66.0,45.0,2026-02-06 08:29:00.000,0.12.2,41.0,52.0,LightSim2Grid,,300.0,20046.0,101.0,77.0,https://pypi.org/project/LightSim2Grid,2026-02-06 08:29:00.000,24.0,20036.0,,,,2.0,,bdonnot/lightsim2grid,https://hub.docker.com/r/bdonnot/lightsim2grid,2022-02-01 17:50:28.347059,470.0,,Grid2op/lightsim2grid,
54,PowerSimulations.jl,steady-state,"['gha', 'julia', 'lab']",,NREL-Sienna/PowerSimulations.jl,BSD-3,Power Systems optimization simulation and modeling; NREL Sienna.,https://github.com/NREL-Sienna/PowerSimulations.jl,https://www.nrel.gov/analysis/sienna.html,2017-11-03 21:11:22,2026-03-23 17:28:02.000000,2026-03-21 18:47:29,10807.0,79.0,63.0,312.0,50.0,22,True,https://nrel-sienna.github.io/PowerSimulations.jl/latest,18.0,1044.0,412.0,2026-03-21 18:11:02.000,0.33.5,100.0,132.0,,,,,,,,,,,,,,2.0,,,,,,,,
55,Dynaωo,phasor,"['gha', 'modelica', 'for-profit']",,dynawo/dynawo,MPL-2.0,C++/Modelica simulation tools for power systems.,https://github.com/dynawo/dynawo,http://dynawo.org,2019-01-29 13:29:35,2026-03-23 15:23:35.000000,2026-03-20 12:19:05,2675.0,31.0,235.0,101.0,62.0,22,True,https://dynawo.github.io/docs/,9.0,2327.0,1529.0,2025-07-18 14:42:06.000,1.7.0,20.0,65.0,,,19664.0,228.0,,,,,,,,,,1.0,,,,,,,,
56,TESP,steady-state,"['gha', 'python', 'jupyter', 'pypi', 'lab']",,pnnl/tesp,BSD-3,Transactive Energy Simulation Platform.,https://github.com/pnnl/tesp,https://github.com/pnnl/tesp,2017-03-28 16:41:17,2026-03-12 17:20:52.000000,2026-02-05 19:46:48,2389.0,41.0,36.0,47.0,28.0,22,True,https://tesp.readthedocs.io/en/latest/,15.0,65.0,96.0,2026-02-05 19:34:05.000,1.3.7,55.0,83.0,tesp_support,,508.0,1160.0,2.0,2.0,https://pypi.org/project/tesp_support,2026-02-05 19:34:05.000,,1155.0,,,,2.0,,,,,,,,
57,PyPSA-Eur,steady-state,"['gha', 'python', 'university']",,PyPSA/pypsa-eur,MIT,Sector-Coupled Optimisation Model of the European Energy System.,https://github.com/PyPSA/pypsa-eur,https://pypsa.org,2017-10-11 23:54:41,2026-03-23 15:56:41.000000,2026-03-23 09:32:26,5804.0,343.0,182.0,549.0,107.0,21,True,https://pypsa-eur.readthedocs.io/en/latest/?badge=latest,19.0,1472.0,456.0,2026-02-19 07:45:23.000,2026.02.0,21.0,125.0,,,,,,,,,,,,,,2.0,,nimfetrisa/pypsa-eur,https://hub.docker.com/r/nimfetrisa/pypsa-eur,,,,,
58,PYPOWER,steady-state,"['gha', 'pypi', 'conda', 'python', 'non-profit']",,rwl/PYPOWER,BSD,Port of MATPOWER to Python.,https://github.com/rwl/PYPOWER,rwl.github.io/PYPOWER/api/,2009-05-22 12:14:47,2025-11-24 17:12:08.000000,2025-11-24 17:12:07,364.0,124.0,36.0,402.0,22.0,21,True,http://rwl.github.io/PYPOWER/index.html,23.0,51.0,15.0,2025-07-10 17:17:48.000,5.1.19,20.0,,PYPOWER,invenia/pypower,,33453.0,177.0,157.0,https://pypi.org/project/PYPOWER,2025-07-10 17:17:48.000,20.0,33423.0,https://anaconda.org/invenia/pypower,2025-03-25 16:27:17.396,3207.0,2.0,,hwanghust/pypower,https://hub.docker.com/r/hwanghust/pypower,2019-05-19 07:28:05.197725,31.0,,,
59,GridPath,steady-state,"['gha', 'python', 'for-profit']",,blue-marble/gridpath,Apache-2,Power system planning and operations.,https://github.com/blue-marble/gridpath,https://www.gridpath.io/,2016-08-12 18:13:28,2026-03-23 20:00:52.000000,2026-03-23 20:00:52,1650.0,64.0,53.0,127.0,13.0,21,True,https://gridpath.readthedocs.io/en/latest/?badge=latest,12.0,985.0,294.0,2026-03-18 18:59:55.000,2026.2.0,43.0,18.0,GridPath,,1394.0,396.0,5.0,5.0,https://pypi.org/project/GridPath,2026-03-18 18:59:55.000,,377.0,,,,2.0,,,,,,,,
60,PyPowSyBl,steady-state,"['gha', 'pypi', 'python', 'java', 'jupyter', 'non-profit']",,powsybl/pypowsybl,MPL-2.0,A PowSyBl and Python integration.,https://github.com/powsybl/pypowsybl,https://www.powsybl.org,2020-11-09 10:30:33,2026-03-23 13:06:28.000000,2026-03-23 07:43:18,848.0,17.0,86.0,84.0,40.0,21,True,https://pypowsybl.readthedocs.io/en/latest/,20.0,898.0,194.0,2026-01-15 12:04:07.000,1.14.0,50.0,20.0,pypowsybl,,479.0,14069.0,,,https://pypi.org/project/pypowsybl,,,14062.0,,,,2.0,-1.0,,,,,,,
61,matpowercaseframes,intf,"['gha', 'python', 'pypi', 'jupyter', 'university']",,UGM-EPSLab/matpowercaseframes,MIT,Parse MATPOWER case into pandas DataFrame.,https://github.com/UGM-EPSLab/matpowercaseframes,https://github.com/UGM-EPSLab/matpowercaseframes,2022-03-31 04:51:41,2026-03-09 23:23:54.000000,2026-03-08 13:15:35,267.0,3.0,5.0,5.0,8.0,21,True,,,29.0,8.0,2026-03-09 23:23:54.000,2.0.3,25.0,55.0,matpowercaseframes,,,19172.0,44.0,37.0,https://pypi.org/project/matpowercaseframes,2026-03-08 13:19:42.000,7.0,19172.0,,,,1.0,,,,,,,,
62,PyPSA-Earth,steady-state,"['gha', 'python', 'volunteer']",,pypsa-meets-earth/pypsa-earth,AGPL-3,Open optimisation model for study energy system futures.,https://github.com/pypsa-meets-earth/pypsa-earth,https://pypsa-meets-earth.github.io/,2021-02-28 19:26:35,2026-03-16 17:55:10.000000,2026-03-15 23:08:19,6403.0,298.0,226.0,329.0,88.0,20,True,https://pypsa-earth.readthedocs.io/,12.0,1057.0,390.0,2025-12-24 14:16:28.000,0.8.0,14.0,35.0,,,,,,,,,,,,,,2.0,,,,,,,,
63,GridLAB-D,phasor,"['c', 'gha', 'lab']",,gridlab-d/gridlab-d,https://github.com/gridlab-d/gridlab-d/blob/master/LICENSE,Distribution power system simulator.,https://github.com/gridlab-d/gridlab-d,https://www.gridlabd.org/,2016-08-29 17:43:21,2026-03-20 08:59:38.000000,2025-05-28 20:17:33,4426.0,121.0,405.0,199.0,76.0,20,True,https://gridlab-d.shoutwiki.com/wiki/Source_documentation,24.0,208.0,1107.0,2025-01-07 00:39:44.000,5.3.0,7.0,,,,8630.0,89.0,,,,,,,,,,2.0,,,,,,,,
64,OpenDSSDirect.py,intf,"['gha', 'pypi', 'python', 'jupyter', 'volunteer']",,dss-extensions/OpenDSSDirect.py,MIT,A direct library interface to OpenDSS.,https://github.com/dss-extensions/OpenDSSDirect.py,https://dss-extensions.org/,2017-06-20 19:18:22,2026-02-26 06:34:19.000000,2024-03-29 05:10:43,451.0,24.0,14.0,108.0,3.0,20,True,https://dss-extensions.org/OpenDSSDirect.py/,12.0,32.0,99.0,2024-03-29 06:18:05.000,0.9.4,19.0,,OpenDSSDirect.py,,,7807.0,78.0,78.0,https://pypi.org/project/OpenDSSDirect.py,,,7807.0,,,,1.0,-1.0,,,,,,,
65,AMPLPY,ops,"['gha', 'pypi', 'conda', 'jupyter', 'python', 'for-profit']",,ampl/amplpy,BSD-3,Python API for AMPL.,https://github.com/ampl/amplpy,https://ampl.com/,2017-06-27 00:22:07,2026-02-16 13:12:09.000000,2026-02-16 13:12:05,888.0,19.0,1.0,83.0,9.0,20,True,https://amplpy.readthedocs.io/en/latest/,10.0,7.0,49.0,2025-07-09 16:14:51.000,0.15.2,186.0,4.0,amplpy,conda-forge/amplpy,,49368.0,146.0,135.0,https://pypi.org/project/amplpy,2025-12-08 18:48:18.000,11.0,41517.0,https://anaconda.org/conda-forge/amplpy,2025-09-05 16:24:52.977,526040.0,3.0,,,,,,,,
66,py-dss-interface,intf,"['gha', 'pypi', 'python', 'jupyter', 'non-profit']",,PauloRadatz/py_dss_interface,MIT,A package for access to direct dll version of OpenDSS.,https://github.com/PauloRadatz/py_dss_interface,https://github.com/PauloRadatz/py_dss_interface,2020-06-12 18:58:36,2026-03-12 11:53:37.000000,2026-02-28 10:56:37,715.0,12.0,1.0,42.0,7.0,20,True,https://py-dss-interface.readthedocs.io/en/latest/,6.0,50.0,56.0,2026-02-16 15:33:33.000,2.3.0,7.0,20.0,py-dss-interface,,35.0,2861.0,41.0,41.0,https://pypi.org/project/py-dss-interface,,,2861.0,,,,1.0,,,,,,,,
67,Gurobi OptiMods,steady-state,"['gha', 'python', 'for-profit']",,Gurobi/gurobi-optimods,Apache-2.0,Implemented optimization use cases using Gurobi.,https://github.com/Gurobi/gurobi-optimods,https://www.gurobi.com/features/gurobi-optimods/,2022-11-18 16:25:03,2025-11-25 03:20:28.000000,2025-11-25 03:14:14,714.0,37.0,25.0,173.0,17.0,19,True,https://gurobi-optimods.readthedocs.io/en/stable/,10.0,95.0,62.0,2025-11-25 03:13:53.000,3.0.0,14.0,,gurobi-optimods,,,188.0,12.0,10.0,https://pypi.org/project/gurobi-optimods,2025-11-25 03:19:27.000,2.0,188.0,,,,2.0,,,,,,,,
68,PIQP,ops,"['gha', 'pypi', 'conda', 'python', 'c', 'octave', 'r', 'university']",,PREDICT-EPFL/piqp,BSD-2,Proximal Interior Point Quadratic Programming solver.,https://github.com/PREDICT-EPFL/piqp,https://github.com/PREDICT-EPFL/piqp,2023-01-25 13:55:12,2026-03-23 09:59:42.000000,2026-02-11 14:09:46,567.0,20.0,6.0,137.0,5.0,19,True,https://predict-epfl.github.io/piqp/,9.0,18.0,14.0,2025-09-16 11:00:25.000,0.6.2,18.0,6.0,piqp,conda-forge/piqp,1072.0,28451.0,61.0,52.0,https://pypi.org/project/piqp,2025-09-16 11:00:25.000,9.0,18654.0,https://anaconda.org/conda-forge/piqp,2026-01-09 15:10:36.438,302737.0,3.0,,,,,,,,
69,DPsim,emt,"['gha', 'pypi', 'jupyter', 'python', 'c', 'university']",,sogno-platform/dpsim,MPL-2.0,Simulation for both EMT and phasor.,https://github.com/sogno-platform/dpsim,https://dpsim.fein-aachen.org/,2020-01-29 08:49:59,2025-12-22 13:13:03.000000,2025-12-22 13:07:03,4857.0,72.0,78.0,118.0,39.0,19,True,https://dpsim.fein-aachen.org/docs/,12.0,286.0,101.0,2025-12-10 15:23:09.000,1.2.1,10.0,,dpsim,,,130.0,14.0,14.0,https://pypi.org/project/dpsim,2025-12-10 14:47:35.000,,130.0,,,,1.0,1.0,,,,,,,
70,PowSyBl Diagram,vis,"['gha', 'java', 'jupyter', 'for-profit']",,powsybl/powsybl-diagram,MPL-2.0,single-line substation diagrams and network graph diagrams.,https://github.com/powsybl/powsybl-diagram,https://www.powsybl.org,2019-10-11 11:25:46,2026-03-20 19:35:05.000000,2026-03-20 16:03:13,607.0,21.0,86.0,109.0,33.0,19,True,https://www.powsybl.org/pages/documentation/developer/api_guide/svg-writing.html,19.0,598.0,132.0,2026-03-09 08:47:23.000,5.2.1,56.0,18.0,,,,,33.0,33.0,,,,,,,,1.0,,,,,,,,
71,MadNLP,ops,"['gha', 'julia', 'university']",,MadNLP/MadNLP.jl,MIT,A solver for nonlinear programming with GPU support.,https://github.com/MadNLP/MadNLP.jl,https://github.com/MadNLP/MadNLP.jl,2020-09-16 23:07:35,2026-03-17 18:47:18.000000,2026-03-17 18:31:57,647.0,22.0,35.0,240.0,19.0,18,True,https://madnlp.github.io/MadNLP.jl/stable/,13.0,465.0,102.0,2026-02-25 22:28:16.000,0.9.1,32.0,50.0,,,,,,,,,,,,,,3.0,,,,,,,,
72,SimBench,data,"['python', 'pypi', 'conda', 'juptyer', 'gha']",,e2nIEE/simbench,odbl-1.0,Benchmark dataset of German LV/MV/HV grids including 15min time series for 1 year.,https://github.com/e2nIEE/simbench,https://simbench.de/en/,2019-05-13 14:10:08,2025-10-23 15:12:59.000000,2025-10-23 15:12:46,165.0,36.0,5.0,129.0,5.0,18,True,https://simbench.readthedocs.io/en/stable/?badge=stable,6.0,28.0,32.0,2025-04-13 10:12:48.000,1.6.1,11.0,,simbench,conda-forge/simbench,,6586.0,58.0,48.0,https://pypi.org/project/simbench,2025-04-13 10:12:48.000,10.0,6586.0,https://anaconda.org/conda-forge/simbench,,,3.0,,,,,,,,
73,PyPSA-USA,steady-state,"['python', 'jupyter', 'university']",,PyPSA/pypsa-usa,MIT,Power System Model for the United States.,https://github.com/PyPSA/pypsa-usa,https://pypsa.org,2022-06-07 15:13:26,2026-03-23 18:42:06.000000,2026-02-10 19:17:33,2361.0,43.0,100.0,122.0,16.0,18,True,https://pypsa-usa.readthedocs.io/,5.0,354.0,283.0,2026-02-10 19:20:20.000,0.8.0,9.0,12.0,,,,,,,,,,,,,,2.0,,,,,,,,
74,REopt,steady-state,"['gha', 'python', 'julia', 'lab']",,NREL/REopt_API,BSD-3,Renewable Energy Integration & Optimization.,https://github.com/NatLabRockies/REopt_API,https://www.nrel.gov/reopt/,2018-12-17 21:24:59,2026-03-06 18:18:44.000000,2026-03-06 16:34:22,5839.0,66.0,56.0,120.0,25.0,18,True,https://github.com/NREL/REopt_API/wiki,7.0,626.0,41.0,2026-03-06 16:35:46.000,3.18.0,72.0,21.0,,,574.0,7.0,,,,,,,,,,2.0,,,,,,,NatLabRockies/REopt_API,
75,OpenIPSL,phasor,"['gha', 'modelica', 'university']",,OpenIPSL/OpenIPSL,BSD-3,A Power System Library written in the Modelica.,https://github.com/OpenIPSL/OpenIPSL,https://github.com/OpenIPSL/OpenIPSL,2016-04-16 09:09:47,2026-03-02 17:59:32.000000,2026-03-02 17:59:31,1916.0,63.0,16.0,103.0,36.0,18,True,https://doc.openipsl.org,20.0,252.0,123.0,2026-02-25 16:09:23.000,3.1.0,16.0,36.0,,,509.0,4.0,,,,,,,,,,2.0,,,,,,,,
76,dsgrid,dataman,"['gha', 'python', 'pypi', 'lab']",,dsgrid/dsgrid,BSD-3,"Demand-side grid projects, datasets and queries.",https://github.com/dsgrid/dsgrid,https://github.com/dsgrid/dsgrid,2020-12-09 23:51:36,2026-03-21 01:41:36.000000,2026-03-21 01:37:56,2034.0,29.0,62.0,102.0,6.0,18,True,https://dsgrid.github.io/dsgrid,4.0,265.0,86.0,2026-01-23 22:21:08.000,0.3.3,7.0,85.0,dsgrid,,,17.0,,,https://pypi.org/project/dsgrid,2014-12-18 16:20:53.000,,17.0,,,,1.0,,,,,,,,
77,openTEPES,steady-state,"['python', 'jupyter', 'gha', 'university']",,IIT-EnergySystemModels/openTEPES,AGPL-3,"Open Generation, Storage, and Transmission Operation and Expansion Planning Model.",https://github.com/IIT-EnergySystemModels/openTEPES,https://github.com/IIT-EnergySystemModels/openTEPES,2020-07-24 21:11:41,2026-03-23 17:03:19.000000,2026-03-23 17:03:14,3333.0,28.0,4.0,54.0,10.0,18,True,https://opentepes.readthedocs.io/en/latest/index.html,4.0,93.0,13.0,2026-02-06 11:39:00.000,4.18.14,116.0,177.0,openTEPES,,120.0,504.0,,,https://pypi.org/project/openTEPES,2026-02-24 11:07:01.000,,502.0,,,,2.0,,,,,,,,
78,PowerModels.jl,steady-state,"['gha', 'julia', 'lab']",,lanl-ansi/PowerModels.jl,BSD,Power Network Optimization.,https://github.com/lanl-ansi/PowerModels.jl,https://github.com/lanl-ansi/PowerModels.jl,2016-08-01 20:30:54,2025-12-01 21:25:09.000000,2025-12-01 21:21:10,1014.0,162.0,93.0,460.0,32.0,17,True,https://lanl-ansi.github.io/PowerModels.jl/stable/,21.0,486.0,422.0,2025-08-12 01:35:46.000,0.21.5,80.0,,,,,,,,,,,,,,,3.0,,,,,,,,
79,GenX,steady-state,"['julia', 'gha', 'university']",,GenXProject/GenX,GPL-2.0,Configurable capacity expansion model.,https://github.com/GenXProject/GenX.jl,https://energy.mit.edu/genx/,2021-05-19 17:57:57,2026-03-23 21:04:45.000000,2026-01-09 19:17:31,1135.0,140.0,64.0,344.0,37.0,17,True,https://genxproject.github.io/GenX/dev/,17.0,571.0,262.0,2025-07-11 18:02:01.000,0.4.5,17.0,5.0,,,,,,,,,,,,,,3.0,,,,,,,GenXProject/GenX.jl,
80,EGRET,steady-state,"['gha', 'python', 'lab']",,grid-parity-exchange/Egret,BSD,Tools for Power Systems Optimization Modeling.,https://github.com/grid-parity-exchange/Egret,https://github.com/grid-parity-exchange/Egret,2019-01-28 18:41:03,2026-01-22 20:31:18.000000,2026-01-22 20:31:18,1103.0,61.0,52.0,155.0,40.0,17,True,,13.0,247.0,38.0,2025-10-06 15:54:54.000,0.6.0,7.0,3.0,,,,,,,,,,,,,,3.0,,,,,,,,
81,GasModels.jl,gasnet,"['gha', 'julia', 'lab']",,lanl-ansi/GasModels.jl,BSD-3,Gas Network Optimization.,https://github.com/lanl-ansi/GasModels.jl,https://github.com/lanl-ansi/GasModels.jl,2016-08-29 16:01:10,2026-03-23 14:38:39.000000,2026-03-12 19:14:38,1239.0,20.0,48.0,78.0,19.0,17,True,https://lanl-ansi.github.io/GasModels.jl/latest/,7.0,141.0,131.0,2026-02-26 22:01:50.000,0.12.0,31.0,78.0,,,,,,,,,,,,,,3.0,,,,,,,,
82,CIMpy,intf,"['gha', 'python', 'non-profit']",,sogno-platform/cimpy,MPL-2.0,CIM files to the XML/RDF format.,https://github.com/sogno-platform/cimpy,https://github.com/sogno-platform/cimpy,2020-01-29 08:22:48,2025-03-09 07:52:14.000000,2025-02-23 21:37:23,230.0,25.0,5.0,71.0,11.0,17,True,https://sogno.energy/cimpy/,3.0,27.0,12.0,2025-03-09 07:52:14.000,1.2.0,9.0,,cimpy,,,1286.0,14.0,13.0,https://pypi.org/project/cimpy,2024-06-20 20:41:41.000,1.0,1286.0,,,,2.0,,,,,,,,
83,STEPS,phasor,"['c', 'python', 'university']",,changgang/steps,MIT,Balanced large-scale AC-DC hybrid power system analysis.,https://github.com/changgang/steps,https://github.com/changgang/steps,2019-08-24 12:09:47,2026-02-02 03:19:10.000000,2026-02-02 02:05:27,799.0,23.0,1.0,68.0,9.0,17,True,https://github.com/changgang/steps/wiki/,6.0,,3.0,2026-02-02 03:21:35.000,2.3.0,45.0,39.0,stepspy,,70.0,146.0,7.0,7.0,https://pypi.org/project/stepspy,2026-02-02 02:01:13.000,,146.0,,,,2.0,,,,,,,,
84,GridPACK,phasor,"['c', 'python', 'lab']",,GridOPTICS/GridPACK,https://github.com/GridOPTICS/GridPACK/blob/develop/docs/markdown/LICENSE.md,High-Performance Electric Grid Simulation.,https://github.com/GridOPTICS/GridPACK,https://gridpack.pnnl.gov/wiki/index.php/Main_Page,2014-07-22 21:01:57,2026-03-23 16:57:43.000000,2026-03-23 16:57:43,3276.0,23.0,21.0,61.0,58.0,17,True,https://github.com/GridOPTICS/GridPACK/blob/develop/docs/user_manual/GridPACK.pdf,15.0,117.0,116.0,2026-03-23 01:28:03.000,3.6,7.0,88.0,,,654.0,6.0,,,,,,,,,,2.0,1.0,,,,,,,
85,Open RAO,steady-state,"['gha', 'java', 'non-profit']",,powsybl/powsybl-open-rao,MPL-2.0,Power systems coordinated capacity calculation and security analysis.,https://github.com/powsybl/powsybl-open-rao,https://www.powsybl.org,2018-11-22 10:41:50,2026-03-23 14:48:19.000000,2026-03-23 13:32:39,1177.0,8.0,50.0,31.0,39.0,17,True,https://powsybl.readthedocs.io/projects/openrao/en/stable/?badge=stable,1.0,1462.0,155.0,2026-03-09 14:47:00.000,7.1.3,88.0,54.0,,,52.0,0.0,,,,,,,,,,3.0,,,,,,,,
86,PowerNetworkMatrices.jl,steady-state,"['gha', 'julia', 'lab']",,NREL-Sienna/PowerNetworkMatrices.jl,BSD-3,Power systems matrices; NREL Sienna.,https://github.com/NREL-Sienna/PowerNetworkMatrices.jl,https://www.nrel.gov/analysis/sienna.html,2022-11-16 21:59:51,2026-03-23 18:25:47.000000,2026-03-14 21:41:15,1224.0,20.0,38.0,30.0,14.0,17,True,https://nrel-sienna.github.io/PowerNetworkMatrices.jl/stable/,5.0,157.0,75.0,2026-03-14 22:02:01.000,0.19.0,39.0,68.0,,,,,,,,,,,,,,3.0,,,,,,,,
87,PowerFlows.jl,steady-state,"['gha', 'julia', 'lab']",,NREL-Sienna/PowerFlows.jl,BSD-3,Collection of Power Flow solution; NREL Sienna.,https://github.com/NREL-Sienna/PowerFlows.jl,https://www.nrel.gov/analysis/sienna.html,2022-03-08 18:40:14,2026-03-23 22:03:21.000000,2026-03-19 17:57:22,313.0,23.0,36.0,29.0,14.0,17,True,https://nrel-sienna.github.io/PowerFlows.jl/dev/,4.0,181.0,111.0,2026-03-16 15:03:34.000,0.16.1,25.0,144.0,,,,,,,,,,,,,,3.0,,,,,,,,
88,RSOME,opl,"['gha', 'pypi', 'jupyter', 'python', 'university']",,XiongPengNUS/rsome,GPL-3,Robust Stochastic Optimization Made Easy.,https://github.com/XiongPengNUS/rsome,https://github.com/XiongPengNUS/rsome,2020-07-26 13:00:05,2024-11-15 13:40:52.000000,2024-11-15 13:40:10,218.0,59.0,7.0,343.0,3.0,16,True,https://xiongpengnus.github.io/rsome/,3.0,21.0,38.0,2024-06-25 13:42:14.000,1.3.0,34.0,,rsome,,,1031.0,4.0,,https://pypi.org/project/rsome,2024-10-29 06:05:15.000,4.0,1031.0,,,,3.0,,,,,,,,
89,PowerGenome,data,"['gha', 'pypi', 'conda', 'python']",,PowerGenome/PowerGenome,MIT,Create inputs for power systems models.,https://github.com/PowerGenome/PowerGenome,https://groups.io/g/powergenome,2019-07-18 17:33:40,2026-03-23 16:25:55.000000,2026-02-13 15:59:24,1825.0,75.0,96.0,233.0,18.0,16,True,https://github.com/PowerGenome/PowerGenome/wiki,19.0,261.0,100.0,2025-03-21 18:15:20.000,0.7.0,20.0,1.0,PowerGenome,conda-forge/powergenome,,133.0,,,https://pypi.org/project/PowerGenome,2025-03-21 18:15:20.000,,76.0,https://anaconda.org/conda-forge/powergenome,2025-04-22 14:58:55.013,1493.0,3.0,,,,,,,,
