,name,category,labels,resource,github_id,license,description,github_url,homepage,created_at,updated_at,last_commit_pushed_at,commit_count,fork_count,open_issue_count,star_count,contributor_count,projectrank,show,docs_url,watchers_count,pr_count,closed_issue_count,latest_stable_release_published_at,latest_stable_release_number,release_count,recent_commit_count,pypi_id,conda_id,github_release_downloads,monthly_downloads,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_pulls,trending,dockerhub_stars,updated_github_id,gitlab_id,gitlab_url
84,PowerSimulationsDynamics.jl,phasor,"['gha', 'julia', 'lab']",,NREL-Sienna/PowerSimulationsDynamics.jl,BSD-3,Dynamic Power System simulations; NREL Sienna.,https://github.com/Sienna-Platform/PowerSimulationsDynamics.jl,https://www.nlr.gov/analysis/sienna,2020-07-16 19:36:16,2026-06-20 23:53:02.000000,2026-06-20 18:40:36,2421.0,57.0,53.0,217.0,18.0,17,True,https://nrel-sienna.github.io/PowerSimulationsDynamics.jl/stable,9.0,256.0,94.0,2026-06-20 20:39:47.000,0.16.1,46.0,6.0,,,,,,,,,,,,,,2.0,,,,,,,Sienna-Platform/PowerSimulationsDynamics.jl,,
85,PowerMCP,llm,"['python', 'university']",,Power-Agent/PowerMCP,MIT,Collection of MCP servers for power system software.,https://github.com/Power-Agent/PowerMCP,http://poweragent.seas.harvard.edu/,2025-04-15 22:46:40,2026-06-24 22:29:52.000000,2026-06-24 22:28:59,161.0,52.0,4.0,169.0,16.0,17,True,,5.0,42.0,3.0,2026-06-24 22:29:52.000,0.2.0,6.0,55.0,,,,,,,,,,,,,,1.0,,,,,,,,,
86,EGRET,steady-state,"['gha', 'python', 'lab']",,grid-parity-exchange/Egret,BSD,Tools for Power Systems Optimization Modeling.,https://github.com/grid-parity-exchange/Egret,https://github.com/grid-parity-exchange/Egret,2019-01-28 18:41:03,2026-05-29 22:04:04.000000,2026-05-29 22:04:04,1111.0,67.0,52.0,161.0,42.0,17,True,,13.0,249.0,38.0,2026-05-29 22:03:12.000,0.6.2,9.0,8.0,,,,,,,,,,,,,,3.0,,,,,,,,,
87,PyPSA-USA,steady-state,"['gha', 'python', 'jupyter', 'university']",,PyPSA/pypsa-usa,MIT,Power System Model for the United States.,https://github.com/PyPSA/pypsa-usa,https://pypsa.org,2022-06-07 15:13:26,2026-06-22 18:49:58.000000,2026-05-11 18:28:56,2364.0,47.0,106.0,134.0,16.0,17,True,https://pypsa-usa.readthedocs.io/en/latest/,7.0,370.0,291.0,2026-02-10 19:20:20.000,0.8.0,9.0,3.0,,,,,,,,,,,,,,3.0,,,,,,,,,
88,dsgrid,dataman,"['gha', 'python', 'pypi', 'lab']",,dsgrid/dsgrid,BSD-3,"Demand-side grid projects, datasets and queries.",https://github.com/dsgrid/dsgrid,https://github.com/dsgrid/dsgrid,2020-12-09 23:51:36,2026-06-24 23:11:35.000000,2026-03-31 16:08:01,2038.0,29.0,65.0,102.0,7.0,17,True,https://dsgrid.github.io/dsgrid,4.0,270.0,86.0,2026-03-31 17:21:34.000,0.4.0,7.0,3.0,dsgrid,,,51.0,1.0,1.0,https://pypi.org/project/dsgrid,2014-12-18 16:20:53.000,,51.0,,,,1.0,,,,,,,,,
89,EnergyDataModel,data,"['pypi', 'python', 'jupyter', 'for-profit']",,rebase-energy/EnergyDataModel,MIT,Represent energy systems as Python data classes.,https://github.com/rebase-energy/energydatamodel,https://www.energydatamodel.org/,2023-12-23 11:12:27,2026-05-28 09:24:09.000000,2026-05-28 09:15:41,133.0,7.0,2.0,86.0,5.0,17,True,https://docs.energydatamodel.org/en/latest/,4.0,5.0,,2026-05-27 08:53:50.000,0.7.0,11.0,34.0,energydatamodel,,,2074.0,4.0,,https://pypi.org/project/energydatamodel,2026-05-27 08:53:50.000,4.0,2074.0,,,,3.0,,,,,,,,,
90,GridPACK,phasor,"['c', 'gha', 'python', 'lab']",,GridOPTICS/GridPACK,BSD-3,High-Performance Electric Grid Simulation.,https://github.com/GridOPTICS/GridPACK,https://gridpack.pnnl.gov/wiki/index.php/Main_Page,2014-07-22 21:01:57,2026-06-22 00:10:07.000000,2026-04-28 15:44:30,3317.0,23.0,18.0,63.0,58.0,17,True,https://github.com/GridOPTICS/GridPACK/wiki,15.0,124.0,119.0,2026-03-24 15:40:43.000,3.6,7.0,35.0,,,654.0,5.0,,,,,,,,,,2.0,,,,,-1.0,,,,
91,powerfactory-tools,intf,"['pypi', 'python', 'university', 'jupyter', 'gha']",,ieeh-tu-dresden/powerfactory-tools,BSD-3,Python toolbox for control of DIgSILENT PowerFactory.,https://github.com/ieeh-tu-dresden/powerfactory-tools,https://github.com/ieeh-tu-dresden/powerfactory-tools,2022-08-31 07:29:54,2026-06-23 21:43:52.000000,2026-06-17 11:37:56,161.0,9.0,23.0,54.0,4.0,17,True,,3.0,141.0,183.0,2026-04-10 16:36:30.000,3.4.0,24.0,6.0,ieeh-powerfactory-tools,,385.0,149.0,2.0,2.0,https://pypi.org/project/ieeh-powerfactory-tools,2026-04-10 16:36:30.000,,141.0,,,,2.0,,,,,,,,,
92,ERAD,intf,"['gha', 'pypi', 'python', 'lab']",,NLR-Distribution-Suite/erad,BSD-3,Toolkit for computing resilience metrics for power distribution systems.,https://github.com/NLR-Distribution-Suite/erad,https://github.com/NLR-Distribution-Suite/erad,2022-10-20 18:16:38,2026-06-22 15:09:12.000000,2026-06-22 15:07:23,235.0,13.0,5.0,24.0,7.0,17,True,https://nlr-distribution-suite.github.io/erad/,6.0,78.0,,2026-04-07 20:55:19.000,0.1.11,15.0,11.0,NREL-erad,,,174.0,3.0,3.0,https://pypi.org/project/NREL-erad,2026-04-07 20:55:19.000,,174.0,,,,2.0,,,,,2.0,,,,
93,RSOME,opl,"['gha', 'pypi', 'jupyter', 'python', 'university']",,XiongPengNUS/rsome,GPL-3,Robust Stochastic Optimization Made Easy.,https://github.com/XiongPengNUS/rsome,https://github.com/XiongPengNUS/rsome,2020-07-26 13:00:05,2024-11-15 13:40:52.000000,2024-11-15 13:40:10,218.0,60.0,7.0,344.0,3.0,16,True,https://xiongpengnus.github.io/rsome/,3.0,21.0,38.0,2024-06-25 13:42:14.000,1.3.0,34.0,,rsome,,,611.0,4.0,,https://pypi.org/project/rsome,2024-10-29 06:05:15.000,4.0,611.0,,,,3.0,,,,,,,,,
